,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),AT (degree C),SR (W/mt2),RH (%),WS (m/s),WD (degree),BP (mmHg),RF (mm),SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),TOT-RF (mm)
4866,08-Jan-2022 - 18:00,08-Jan-2022 - 19:00,26.06,31.07,16.54,,97.45,0.42,169.27,750.0,0.01,3.35,2.66,3.9,6.56,35.45,0.43,16.44,0.0,,,,,,0.02
4867,08-Jan-2022 - 19:00,08-Jan-2022 - 20:00,27.54,32.73,16.16,,97.95,0.29,175.16,750.0,0.01,3.15,2.95,4.08,7.03,32.4,0.51,9.86,0.0,,,,,,0.02
4868,08-Jan-2022 - 20:00,08-Jan-2022 - 21:00,28.9,36.86,15.86,,98.47,0.22,184.98,750.0,0.0,2.88,3.1,3.37,6.47,31.09,0.58,5.08,0.0,,,,,,0.0
4869,08-Jan-2022 - 21:00,08-Jan-2022 - 22:00,34.9,39.7,15.54,,98.61,0.23,169.19,750.0,0.0,2.77,3.13,3.27,6.4,30.92,0.66,2.14,0.0,,,,,,0.0
4870,08-Jan-2022 - 22:00,08-Jan-2022 - 23:00,37.15,42.25,14.99,,98.95,0.28,179.18,750.0,0.0,3.01,3.37,5.61,8.98,25.77,0.74,2.52,0.0,,,,,,0.0
4871,08-Jan-2022 - 23:00,09-Jan-2022 - 00:00,38.85,47.95,15.27,,99.21,0.34,185.67,750.0,0.0,2.74,3.51,5.56,9.07,26.35,0.82,1.15,0.0,,,,,,0.0
4872,09-Jan-2022 - 00:00,09-Jan-2022 - 01:00,41.85,50.48,15.82,,99.38,0.6,206.57,750.0,0.33,2.76,3.44,7.74,11.19,29.59,0.81,5.81,0.0,,,,,,1.3
4873,09-Jan-2022 - 01:00,09-Jan-2022 - 02:00,40.85,49.85,15.24,,99.22,0.27,150.92,750.0,0.14,2.95,3.21,4.39,7.6,27.72,0.78,5.49,0.0,,,,,,0.54
4874,09-Jan-2022 - 02:00,09-Jan-2022 - 03:00,32.65,38.3,14.65,,99.29,0.26,147.78,750.0,0.0,2.8,3.04,4.21,7.26,25.21,0.77,3.96,0.0,,,,,,0.0
4875,09-Jan-2022 - 03:00,09-Jan-2022 - 04:00,32.85,37.65,14.45,,99.45,0.26,186.83,749.61,0.0,2.81,3.33,3.1,6.44,28.74,0.8,2.9,0.0,,,,,,0.0
4876,09-Jan-2022 - 04:00,09-Jan-2022 - 05:00,28.3,33.64,13.9,,99.58,0.23,160.09,749.05,0.0,3.05,3.14,3.78,6.92,26.23,0.74,3.47,0.0,,,,,,0.0
4877,09-Jan-2022 - 05:00,09-Jan-2022 - 06:00,18.25,20.5,13.6,,99.67,0.24,176.81,749.06,0.0,2.78,3.28,3.34,6.62,23.09,0.7,1.98,0.0,,,,,,0.0
4878,09-Jan-2022 - 06:00,09-Jan-2022 - 07:00,10.45,17.0,13.22,0.29,99.68,0.14,131.33,749.2,0.0,2.72,3.48,2.68,6.16,25.23,0.68,1.13,0.0,,,,,,0.0
4879,09-Jan-2022 - 07:00,09-Jan-2022 - 08:00,10.45,16.35,13.23,23.84,99.81,0.18,141.94,749.6,0.0,2.87,3.25,2.88,6.12,23.46,0.58,2.38,0.0,,,,,,0.0
4880,09-Jan-2022 - 08:00,09-Jan-2022 - 09:00,15.05,17.0,15.06,50.89,99.88,0.18,187.39,749.98,0.0,2.72,3.53,2.63,6.16,23.39,0.62,2.54,0.0,,,,,,0.0
4881,09-Jan-2022 - 09:00,09-Jan-2022 - 10:00,18.6,26.15,15.84,45.94,99.7,0.31,189.16,750.0,0.0,2.92,2.77,4.23,6.99,24.37,0.59,6.45,0.0,,,,,,0.0
4882,09-Jan-2022 - 10:00,09-Jan-2022 - 11:00,24.25,29.3,15.88,30.33,99.52,0.53,163.5,750.0,0.08,2.95,2.73,4.42,7.15,23.75,0.63,8.76,0.0,,,,,,0.34
4883,09-Jan-2022 - 11:00,09-Jan-2022 - 12:00,32.6,39.3,16.6,87.1,99.03,0.47,203.99,750.0,0.01,2.84,2.51,3.44,5.94,24.27,0.64,11.33,0.0,,,,,,0.06
4884,09-Jan-2022 - 12:00,09-Jan-2022 - 13:00,29.85,38.25,17.13,47.05,96.4,0.27,178.64,750.0,0.02,2.79,2.66,3.49,6.14,20.62,0.7,7.64,0.0,,,,,,0.08
