,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),AT (degree C),Temp (degree C),SR (W/mt2),RH (%),WS (m/s),WD (degree),BP (mmHg),RF (mm),SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Eth-Benzene,MP-Xylene,O Xylene,Toluene (ug/m3),VWS (m/s),TOT-RF (mm)
84,24-Jul-2019 - 12:00,24-Jul-2019 - 13:00,,,,,,,,,,,,,,,,,,,,,,,0.0
85,24-Jul-2019 - 13:00,24-Jul-2019 - 14:00,,,,,,,,,,,,,,,,,,,,,,,0.0
86,24-Jul-2019 - 14:00,24-Jul-2019 - 15:00,,,,,,,,,,,,,,,,,,,,,,,0.0
87,24-Jul-2019 - 15:00,24-Jul-2019 - 16:00,,,,,,,,,,,,,,,,,,,,,,,0.0
88,24-Jul-2019 - 16:00,24-Jul-2019 - 17:00,,,,,,,,,,,,,,,,,,,,,,,0.0
89,24-Jul-2019 - 17:00,24-Jul-2019 - 18:00,,,,,,,,,,,,,,,,,,,,,,,0.0
90,24-Jul-2019 - 18:00,24-Jul-2019 - 19:00,,,,,,,,,,,,,,,,,,,,,,,0.0
91,24-Jul-2019 - 19:00,24-Jul-2019 - 20:00,,,,,,,,,,,,,,,,,,,,,,,0.0
92,24-Jul-2019 - 20:00,24-Jul-2019 - 21:00,,,,,,,,,,,,,,,,,,,,,,,0.0
93,24-Jul-2019 - 21:00,24-Jul-2019 - 22:00,,,,,,,,,,,,,,,,,,,,,,,0.0
94,24-Jul-2019 - 22:00,24-Jul-2019 - 23:00,,,,,,,,,,,,,,,,,,,,,,,0.0
95,24-Jul-2019 - 23:00,25-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,0.0
96,25-Jul-2019 - 00:00,25-Jul-2019 - 01:00,,,,,,,,,,,,,,,,,,,,,,,0.0
97,25-Jul-2019 - 01:00,25-Jul-2019 - 02:00,,,,,,,,,,,,,,,,,,,,,,,0.0
98,25-Jul-2019 - 02:00,25-Jul-2019 - 03:00,,,,,,,,,,,,,,,,,,,,,,,0.0
99,25-Jul-2019 - 03:00,25-Jul-2019 - 04:00,,,,,,,,,,,,,,,,,,,,,,,0.0
